"sample_ID,N,10,0","COUNT,N,10,0","AREA,N,19,11","MIN,N,19,11","MAX,N,19,11","RANGE,N,19,11","MEAN,N,19,11","STD,N,19,11","SUM,N,19,11"
374,1,1000000,0.218387488,0.218387488,0,0.218387488,0,0.218387488
375,1,1000000,0.234212185,0.234212185,0,0.234212185,0,0.234212185
376,1,1000000,0.80741816,0.80741816,0,0.80741816,0,0.80741816
377,1,1000000,0.713279955,0.713279955,0,0.713279955,0,0.713279955
378,1,1000000,0.218779512,0.218779512,0,0.218779512,0,0.218779512
379,1,1000000,0.360424586,0.360424586,0,0.360424586,0,0.360424586
380,1,1000000,0.47087241,0.47087241,0,0.47087241,0,0.47087241
381,1,1000000,0.539730177,0.539730177,0,0.539730177,0,0.539730177
382,1,1000000,0.738973477,0.738973477,0,0.738973477,0,0.738973477
383,1,1000000,0.717791593,0.717791593,0,0.717791593,0,0.717791593
384,1,1000000,0.673653645,0.673653645,0,0.673653645,0,0.673653645
385,1,1000000,0.505172771,0.505172771,0,0.505172771,0,0.505172771
386,1,1000000,0.5245588,0.5245588,0,0.5245588,0,0.5245588
387,1,1000000,0.180042239,0.180042239,0,0.180042239,0,0.180042239
388,1,1000000,0.170977998,0.170977998,0,0.170977998,0,0.170977998
389,1,1000000,0.172988308,0.172988308,0,0.172988308,0,0.172988308
390,1,1000000,0.14635742,0.14635742,0,0.14635742,0,0.14635742
391,1,1000000,0.522931524,0.522931524,0,0.522931524,0,0.522931524
392,1,1000000,0.401012776,0.401012776,0,0.401012776,0,0.401012776
393,1,1000000,0.193506552,0.193506552,0,0.193506552,0,0.193506552
395,1,1000000,0.225105381,0.225105381,0,0.225105381,0,0.225105381
396,1,1000000,0.535092122,0.535092122,0,0.535092122,0,0.535092122
397,1,1000000,0.234807533,0.234807533,0,0.234807533,0,0.234807533
398,1,1000000,0.151638617,0.151638617,0,0.151638617,0,0.151638617
399,1,1000000,0.24532143,0.24532143,0,0.24532143,0,0.24532143
400,1,1000000,0.214701831,0.214701831,0,0.214701831,0,0.214701831
401,1,1000000,0.222083892,0.222083892,0,0.222083892,0,0.222083892
402,1,1000000,0.122663328,0.122663328,0,0.122663328,0,0.122663328
403,1,1000000,0.172482063,0.172482063,0,0.172482063,0,0.172482063
404,1,1000000,0.207241525,0.207241525,0,0.207241525,0,0.207241525
405,1,1000000,0.215935026,0.215935026,0,0.215935026,0,0.215935026
406,1,1000000,0.178728187,0.178728187,0,0.178728187,0,0.178728187
407,1,1000000,0.197020576,0.197020576,0,0.197020576,0,0.197020576
408,1,1000000,0.540364938,0.540364938,0,0.540364938,0,0.540364938
409,1,1000000,0.492071305,0.492071305,0,0.492071305,0,0.492071305
410,1,1000000,0.59606849,0.59606849,0,0.59606849,0,0.59606849
411,1,1000000,0.697870627,0.697870627,0,0.697870627,0,0.697870627
412,1,1000000,0.113161142,0.113161142,0,0.113161142,0,0.113161142
413,1,1000000,0.124350876,0.124350876,0,0.124350876,0,0.124350876
414,1,1000000,0.331527923,0.331527923,0,0.331527923,0,0.331527923
